	0.02
0.10	2.7500
0.12	2.7841
0.14	2.8114
0.16	2.8341
0.18	2.8535
0.20	2.8704
0.22	2.8855
0.24	2.8990
0.26	2.9114
0.28	2.9227
0.30	2.9333
0.32	2.9432
0.34	2.9525
0.36	2.9613
0.38	2.9696
0.40	2.9777
0.42	2.9854
0.44	2.9928
0.46	3.0001
0.48	3.0071
0.50	3.0140
0.52	3.0207
0.54	3.0273
0.56	3.0338
0.58	3.0403
0.60	3.0468
0.62	3.0532
0.64	3.0596
0.66	3.0661
0.68	3.0726
0.70	3.0792
0.72	3.0859
0.74	3.0928
0.76	3.0999
0.78	3.1072
0.80	3.1149
0.82	3.1230
0.84	3.1315
0.86	3.1408
0.88	3.1509
0.90	3.1622
0.92	3.1752
0.94	3.1909
0.96	3.2113
0.98	3.2428
