	0.00
0.10	0.6825
0.12	0.7418
0.14	0.7948
0.16	0.8428
0.18	0.8866
0.20	0.9269
0.22	0.9639
0.24	0.9982
0.26	1.0299
0.28	1.0594
0.30	1.0868
0.32	1.1123
0.34	1.1360
0.36	1.1581
0.38	1.1785
0.40	1.1976
0.42	1.2152
0.44	1.2315
0.46	1.2465
0.48	1.2604
0.50	1.2731
0.52	1.2847
0.54	1.2953
0.56	1.3048
0.58	1.3134
0.60	1.3211
0.62	1.3279
0.64	1.3338
0.66	1.3390
0.68	1.3434
0.70	1.3471
0.72	1.3501
0.74	1.3525
0.76	1.3544
0.78	1.3558
0.80	1.3568
0.82	1.3574
0.84	1.3578
0.86	1.3580
0.88	1.3581
0.90	1.3581
0.92	1.3581
0.94	1.3581
0.96	1.3581
0.98	1.3581
1.00	1.3581
