	0.00
0.10	0.8512
0.12	0.9243
0.14	0.9895
0.16	1.0483
0.18	1.1017
0.20	1.1505
0.22	1.1953
0.24	1.2365
0.26	1.2745
0.28	1.3095
0.30	1.3419
0.32	1.3717
0.34	1.3993
0.36	1.4247
0.38	1.4481
0.40	1.4696
0.42	1.4893
0.44	1.5073
0.46	1.5237
0.48	1.5386
0.50	1.5520
0.52	1.5640
0.54	1.5747
0.56	1.5841
0.58	1.5924
0.60	1.5996
0.62	1.6057
0.64	1.6109
0.66	1.6152
0.68	1.6186
0.70	1.6214
0.72	1.6235
0.74	1.6250
0.76	1.6261
0.78	1.6268
0.80	1.6272
0.82	1.6275
0.84	1.6276
0.86	1.6276
0.88	1.6276
0.90	1.6276
0.92	1.6276
0.94	1.6276
0.96	1.6276
0.98	1.6276
1.00	1.6276
